ModelID,nPoints,DeltaQ,RunTime(min),VisibleFaces,PercTotalFaces,VisibleArea(mm^2),PercTotalArea,SimulationID
larynx1,5,0.06,0.03,0,0.00,0.00,0.00,larynx1-dq-0.06-5pts
larynx1,1,0.06,0.01,0,0.00,0.00,0.00,larynx1-dq-0.06-1pts
larynx1,1,0.06,0.01,0,0.00,0.00,0.00,larynx1-dq-0.06-1pts
larynx1,1,0.06,0.01,0,0.00,0.00,0.00,larynx1-dq-0.06-1pts
larynx1,1,0.06,0.01,0,0.00,0.00,0.00,larynx1-dq-0.06-1pts
larynx1,1,0.06,0.01,0,0.00,0.00,0.00,larynx1-dq-0.06-1pts
larynx1,1,0.06,0.01,0,0.00,0.00,0.00,larynx1-dq-0.06-1pts
larynx1,1,0.06,0.01,0,0.00,0.00,0.00,larynx1-dq-0.06-1pts
larynx1,1,0.06,0.01,0,0.00,0.00,0.00,larynx1-dq-0.06-1pts
larynx1,1,0.06,0.01,0,0.00,0.00,0.00,larynx1-dq-0.06-1pts
larynx1,5,0.06,0.03,0,0.00,0.00,0.00,larynx1-dq-0.06-5pts
larynx1,100,0.06,3.27,991,2.16,102.11,2.43,larynx1-dq-0.06-100pts
larynx1,100,0.06,1.98,1603,3.50,177.83,4.22,larynx1-dq-0.06-100pts
larynx1,20,0.06,0.24,329,0.72,35.11,0.83,larynx1-dq-0.06-20pts
larynx1,20,0.06,0.32,252,0.55,31.42,0.75,larynx1-dq-0.06-20pts
larynx1,20,0.06,0.30,214,0.47,19.59,0.47,larynx1-dq-0.06-20pts
larynx1,20,0.06,0.38,329,0.72,35.11,0.83,larynx1-dq-0.06-20pts
larynx1,20,0.06,0.31,252,0.55,31.42,0.75,larynx1-dq-0.06-20pts
larynx1,20,0.06,0.24,198,0.43,19.87,0.47,larynx1-dq-0.06-20pts
larynx1,20,0.06,0.23,33,0.07,4.01,0.10,larynx1-dq-0.06-20pts
larynx1,100,0.06,2.48,443,0.97,44.03,1.05,larynx1-dq-0.06-100pts
larynx1,100,0.06,11.00,448,0.98,55.91,1.33,larynx1-dq-0.06-100pts
larynx1,50,0.06,1.33,578,1.26,57.18,1.36,larynx1-dq-0.06-50pts
